X,Y,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,ALT_PHONE,TYPE,COUNTY,COUNTYFIPS,ST_FIPS,COUNTRY,REGION,LATITUDE,LONGITUDE,STATE_ID,NAICS_CODE,OWNER,TTL_STAFF,BEDS,TRAUMA
325125.009046413,398843.046698906,20,Project H.O.P.E. Inc,622 COOPER ST,CAMDEN,NJ,08102,856-541-6092,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.92690074,-75.09550637,,,,,9999999,
317629.826202162,403205.708577238,21,Project H.O.P.E. Mobile Unit,439 CLINTON STREET,CAMDEN,NJ,08103,856-968-2320,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.93873695,-75.12234043,,,,,9999999,
321569.459070913,399671.651668988,22,Virtua-Camden SED,1000 ATLANTIC AVENUE,CAMDEN,NJ,08104,,,SATELLITE EMERGENCY DEPARTMENTS,CAMDEN,34007,34,US,SOUTH,39.92910966,-75.10820456,,,,,9999999,
402200.546167996,92758.934458904,23,Cape Regional Medical Center,2 STONE HARBOR BOULEVARD,CAPE MAY COURT HOUSE,NJ,08210,609-463-2000,609-463-2688,ACUTE CARE HOSPITALS,CAPE MAY,34009,34,US,SOUTH,39.087614,-74.816829,,,,,242,
402246.493582662,93352.9122735709,24,Cape Community Health Center,410 N. ROUTE 9,CAPE MAY COURT HOUSE,NJ,08210,609-465-0258,,FEDERALLY QUALIFIED HEALTH CENTERS,CAPE MAY,34009,34,US,SOUTH,39.08924536,-74.81667441,,,,,9999999,
564794.67701583,734453.218324989,25,Essex County Hospital Center,204 GROVE AVENUE,CEDAR GROVE,NJ,07009,973-571-2801,,NON ACUTE CARE HOSPITALS,ESSEX,34013,34,US,NORTH EAST,40.84944285,-74.23730826,,,,,9999999,
347392.048501745,399126.053350739,26,Kennedy Memorial Hospitals UMC Cherry Hill,2201 CHAPEL AVENUE WEST,CHERRY HILL,NJ,08002,856-488-6500,856-488-6816,ACUTE CARE HOSPITALS,CAMDEN,34007,34,US,SOUTH,39.92805828,-75.0161135,,,,,229,
440758.711833663,723460.339392155,27,Kessler Institute for Rehabilitation - Welkind Facility,201 PLEASANT HILL ROAD,CHESTER,NJ,07930,973-252-6300,973-252-6367,NON ACUTE CARE HOSPITALS,MORRIS,34027,34,US,NORTH WEST,40.8194175,-74.68560172,,,,,9999999,
356248.495027661,356679.199924402,28,CAMcare Clementon,121 WHITEHORSE PIKE,CLEMENTON,NJ,08021,856-627-7701,,FEDERALLY QUALIFIED HEALTH CENTERS,CAMDEN,34007,34,US,SOUTH,39.81166378,-74.98371369,,,,,9999999,
501712.507248662,750936.287392907,29,Saint Clare's Hospital/Denville,25 POCONO ROAD,DENVILLE,NJ,07834-2995,973-625-6000,973-983-2233,ACUTE CARE HOSPITALS,MORRIS,34027,34,US,NORTH WEST,40.894982,-74.46532,,,,,9999999,
471000.112308744,747373.046487905,30,Saint Clare's Hospital/Dover,400 WEST BLACKWELL ST,DOVER,NJ,07801,973-989-3000,973-989-3200,ACUTE CARE HOSPITALS,MORRIS,34027,34,US,NORTH WEST,40.885181,-74.576407,,,,,60,
475705.256769828,746890.207230486,31,Highlands Health Van of Zufall Health Center,17 S WARREN ST,DOVER,NJ,07801,908-968-0898,,FEDERALLY QUALIFIED HEALTH CENTERS,MORRIS,34027,34,US,NORTH WEST,40.88386565,-74.55938806,,,,,9999999,
475733.770820413,746954.819305986,32,Zufall Health Center,18 W. BLACKWELL STREET,DOVER,NJ,07801,973-328-9100,,FEDERALLY QUALIFIED HEALTH CENTERS,MORRIS,34027,34,US,NORTH WEST,40.88404306,-74.55928509,,,,,9999999,
472028.654542994,747819.836932905,33,Kindred Hospital New Jersey - Morris County,400 USHY 46,DOVER,NJ,07801,,,NON ACUTE CARE HOSPITALS,MORRIS,34027,34,US,NORTH WEST,40.88640982,-74.57268827,,,,,9999999,
571446.467846081,699882.027296908,34,East Orange General Hospital,300 CENTRAL AVENUE,EAST ORANGE,NJ,07018-2897,973-674-8400,973-266-4401,ACUTE CARE HOSPITALS,ESSEX,34013,34,US,NORTH EAST,40.75448927,-74.21367109,,,,,211,
565254.878195163,699139.015659571,35,VA New Jersey Health Care System (East Orange),385 TREMONT AVENUE,EAST ORANGE,NJ,07018-1095,973-676-1000,,ACUTE CARE HOSPITALS,ESSEX,34013,34,US,NORTH EAST,40.752503,-74.236029,,,,,218,
571528.365648162,703959.794403821,36,East Orange Primary Care Center,444 WILLIAM STREET,EAST ORANGE,NJ,07017,973-675-1900X1003,973-675-1900X1064,FEDERALLY QUALIFIED HEALTH CENTERS,ESSEX,34013,34,US,NORTH EAST,40.7656819,-74.21332738,,,,,9999999,
571944.45011783,699543.741228074,37,Kessler Institute for Rehabilitation - East Facility,240 CENTRAL AVENUE,EAST ORANGE,NJ,07018,973-414-4700,,NON ACUTE CARE HOSPITALS,ESSEX,34013,34,US,NORTH EAST,40.75355621,-74.21187753,,,,,9999999,
533732.42713258,627748.97700949,38,JFK Medical Center,65 JAMES ST.,EDISON,NJ,08818,732-321-7000,732-321-7615,ACUTE CARE HOSPITALS,MIDDLESEX,34023,34,US,CENTRAL EAST,40.556738,-74.350252,,,,,399,
533732.42713258,627748.97700949,39,"Robert Wood Johnson, Jr. Rehabilitation Institute",65 JAMES STREET,EDISON,NJ,08818,732-321-7051,,NON ACUTE CARE HOSPITALS,MIDDLESEX,34023,34,US,CENTRAL EAST,40.556738,-74.350252,,,,,9999999,
465779.170978997,226490.907479987,40,AtlantiCare Health Services,2500 ENGLISH CREEK ROAD,EGG HARBOR TOWNSHIP,NJ,08234,609-344-5714,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.45519694,-74.59331114,,,,,9999999,
571222.011930164,665080.825902075,41,Trinitas Regional Medical Center,225 WILLIAMSON STREET,ELIZABETH,NJ,07202,908-994-5000,,ACUTE CARE HOSPITALS,UNION,34039,34,US,CENTRAL EAST,40.658962,-74.214889,,,,,325,
628980.088342912,507505.963230908,42,Visiting Nurse Association of Central Jersey Community Health Center,1301 MAIN STREET,ASBURY PARK,NJ,07712,732-774-6333,732-776-3921,FEDERALLY QUALIFIED HEALTH CENTERS,MONMOUTH,34025,34,US,CENTRAL EAST,40.22570808,-74.00985222,,,,,9999999,
510883.863577828,191085.297517069,43,Atlanticare Regional Medical Center City Division,1925 PACIFIC AVENUE,ATLANTIC CITY,NJ,08401,609-345-4000,,ACUTE CARE HOSPITALS,ATLANTIC,34001,34,US,SOUTH,39.358004,-74.433655,,,,,9999999,Level II
512461.625514161,192580.958895825,44,AtlantiCare Health Services Healthcare for the Homeless-Atlantic Ave,1401 ATLANTIC AVE SUITE 2600,ATLANTIC CITY,NJ,08401,609-572-6055,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.36210728,-74.42807055,,,,,9999999,
511750.557710581,192222.43172574,45,AtlantiCare Health Services Healthcare for the Homeless-Bacharach Blvd,2009 BACHARACH BLVD.,ATLANTIC CITY,NJ,08401,609-344-5714,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.36112441,-74.43058658,,,,,9999999,
514068.747299913,193419.520210825,46,AtlantiCare Health Services at Covenant House,929 ATLANTIC AVENUE,ATLANTIC CITY,NJ,08401,609-344-5714,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.36440604,-74.42238359,,,,,9999999,
512815.051644579,192764.764302492,47,Atlantic City Center,1301 ATLANTIC AVENUE,ATLANTIC CITY,NJ,08401,609-572-0000,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.36261117,-74.42681995,,,,,9999999,
513328.144450411,193037.596105903,48,Women and Children's Health Pavilion,1125 ATLANTIC AVENUE,ATLANTIC CITY,NJ,08401,609-348-0066,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.36335912,-74.42500432,,,,,9999999,
510885.831749745,191050.589909323,49,Acuity Specialty Hospital of New Jersey,1925 PACIFIC AVE,ATLANTIC CITY,NJ,08401,,,NON ACUTE CARE HOSPITALS,ATLANTIC,34001,34,US,SOUTH,39.3579087,-74.43364813,,,,,9999999,
599572.636987329,668509.083481237,50,Bayonne Medical Center,29 E 29TH ST,BAYONNE,NJ,07002-4695,201-858-5000,,ACUTE CARE HOSPITALS,HUDSON,34017,34,US,NORTH EAST,40.668075,-74.112644,,,,,278,
599166.46653983,668640.948046908,51,"Bayonne Family Medical Center by HAC, Inc",29 EAST 29TH STREET,BAYONNE,NJ,07002,201-683-2000,201-451-6300,FEDERALLY QUALIFIED HEALTH CENTERS,HUDSON,34017,34,US,NORTH EAST,40.66844187,-74.11410616,,,,,9999999,
441330.850453161,594594.007230319,52,Carrier Clinic,252 ROUTE 601,BELLE MEAD,NJ,08502,908-281-1000,,NON ACUTE CARE HOSPITALS,SOMERSET,34035,34,US,CENTRAL WEST,40.46567627,-74.68256805,,,,,9999999,
441032.193898246,595197.413175739,53,East Mountain Hospital,40 EAST MOUNTAIN ROAD,BELLE MEAD,NJ,08502,908-281-1500,,NON ACUTE CARE HOSPITALS,SOMERSET,34035,34,US,CENTRAL WEST,40.467331,-74.683646,,,,,9999999,
581841.487410329,711260.675799407,54,Clara Maass Medical Center,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,07109,973-450-2000,,ACUTE CARE HOSPITALS,ESSEX,34013,34,US,NORTH EAST,40.78562401,-74.17599655,,,,,445,
513866.226707578,667223.813742071,55,Runnells Specialized Hospital of Union County,40 WATCHUNG WAY,BERKELEY HEIGHTS,NJ,07922,908-771-5700,,NON ACUTE CARE HOSPITALS,UNION,34039,34,US,CENTRAL EAST,40.66517,-74.421626,,,,,9999999,
374000.978223413,345693.148733824,56,Virtua-Berlin SED,100 TOWNSEND AVENUE,BERLIN,NJ,08009,856-322-3000,,SATELLITE EMERGENCY DEPARTMENTS,CAMDEN,34007,34,US,SOUTH,39.781749,-74.920334,,,,,95,
330876.685863245,348721.681062572,57,Northbrook Behavioral Health Hospital,425 WOODBURY-TURNERSVILLE ROAD,BLACKWOOD,NJ,08012,856-374-6600,,NON ACUTE CARE HOSPITALS,CAMDEN,34007,34,US,SOUTH,39.78940612,-75.07385025,,,,,9999999,
512621.046783246,756395.286973573,58,Saint Clare's Hospital/Boonton,130 POWERVILLE ROAD,BOONTON TOWNSHIP,NJ,07005,973-316-1800,973-316-1808,NON ACUTE CARE HOSPITALS,MORRIS,34027,34,US,NORTH WEST,40.909948,-74.425843,,,,,9999999,
595268.247958329,453292.601185404,59,Ocean Medical Center,425 JACK MARTIN BOULEVARD,BRICK,NJ,08724,732-840-2200,,ACUTE CARE HOSPITALS,OCEAN,34029,34,US,CENTRAL EAST,40.07732766,-74.13139458,,,,,287,
595341.262904163,453259.366343737,60,Shore Rehabilitation Institute,425 JACK MARTIN BLVD,BRICK,NJ,08724,732-295-6500,732-836-4500,NON ACUTE CARE HOSPITALS,OCEAN,34029,34,US,CENTRAL EAST,40.07723559,-74.13113414,,,,,9999999,
579744.061487079,661842.307116657,61,Neighborhood Health Center - Elizabeth,"184 FIRST STREET, 2ND FLOOR",ELIZABETH,NJ,07206,908-355-4459,,FEDERALLY QUALIFIED HEALTH CENTERS,UNION,34039,34,US,CENTRAL EAST,40.64999228,-74.18421281,,,,,9999999,
571366.100224663,665136.025266737,62,Care One at Trinitas,225 WILLIAMSON ST,ELIZABETH,NJ,07202,,,NON ACUTE CARE HOSPITALS,UNION,34039,34,US,CENTRAL EAST,40.65911224,-74.21436898,,,,,9999999,
300279.024617746,275498.750737071,63,Inspira Medical Center Elmer,501 W FRONT STREET,ELMER,NJ,08318,856-363-1000,,ACUTE CARE HOSPITALS,SALEM,34033,34,US,SOUTH,39.587796,-75.180757,,,,,91,
639050.792282827,754834.656892739,64,Englewood Hospital and Medical Center,350 ENGLE STREET,ENGLEWOOD,NJ,07631,201-894-3000,201-894-3199,ACUTE CARE HOSPITALS,BERGEN,34003,34,US,NORTH EAST,40.904463,-73.968441,,,,,536,
635596.489152078,749073.923991658,65,NHCAC Health Center at Englewood,197 SOUTH VAN BRUNT ST,ENGLEWOOD,NJ,07631,201-537-4442,,FEDERALLY QUALIFIED HEALTH CENTERS,BERGEN,34003,34,US,NORTH EAST,40.88870769,-73.98106136,,,,,9999999,
391841.094117913,618699.16177582,66,Hunterdon Medical Center,2100 WESCOTT DRIVE,FLEMINGTON,NJ,08822,908-788-6100,,ACUTE CARE HOSPITALS,HUNTERDON,34019,34,US,CENTRAL WEST,40.531429,-74.860798,,,,,178,
545367.455371663,511507.132065825,67,CentraState Medical Center,901 WEST MAIN STREET,FREEHOLD,NJ,07728,732-431-2000,,ACUTE CARE HOSPITALS,MONMOUTH,34025,34,US,CENTRAL EAST,40.237573,-74.309279,,,,,263,
602462.690918494,746175.870076485,68,NHCAC Garfield,535 MIDLAND AVENUE,GARFIELD,NJ,07026,973-340-1182,,FEDERALLY QUALIFIED HEALTH CENTERS,BERGEN,34003,34,US,NORTH EAST,40.88122983,-74.1009518,,,,,9999999,
320660.626899078,319370.760433823,69,Glassboro Community Health Center,335 DELSEA DRIVE N,GLASSBORO,NJ,08028,856-863-5720,,FEDERALLY QUALIFIED HEALTH CENTERS,GLOUCESTER,34015,34,US,SOUTH,39.70864259,-75.10949468,,,,,9999999,
375914.177480996,677588.54858999,70,Senator Garrett W. Hagedorn Psychiatric Hospital,200 SANATORIUM ROAD,GLEN GARDNER,NJ,08826,,,NON ACUTE CARE HOSPITALS,HUNTERDON,34019,34,US,CENTRAL WEST,40.69288755,-74.91910651,,,,,9999999,
614798.066510163,747136.623732403,71,Hackensack University Medical Center,30 PROSPECT AVENUE,HACKENSACK,NJ,07601,551-996-2000,,ACUTE CARE HOSPITALS,BERGEN,34003,34,US,NORTH EAST,40.883704,-74.056323,,,,,775,Level II
618886.11935766,747866.839791656,72,NHCAC Hackensack,25 EAST SALEM STREET,HACKENSACK,NJ,07601,201-996-2121,,FEDERALLY QUALIFIED HEALTH CENTERS,BERGEN,34003,34,US,NORTH EAST,40.88565052,-74.04152412,,,,,9999999,
404745.958399996,738985.538000487,73,Hackettstown Regional Medical Center,651 WILLOW GROVE STREET,HACKETTSTOWN,NJ,07840-1792,908-852-5100,908-850-6800,ACUTE CARE HOSPITALS,WARREN,34041,34,US,NORTH WEST,40.86175035,-74.81592619,,,,,111,
405457.764062997,739085.420674741,74,Zufall Health Center at Hackettstown,653 WILLOW GROVE STREET,HACKETTSTOWN,NJ,07840,908-452-5366,,FEDERALLY QUALIFIED HEALTH CENTERS,WARREN,34041,34,US,NORTH WEST,40.86203154,-74.81335394,,,,,9999999,
444090.218293995,503759.806353152,75,Robert Wood Johnson University Hospital at Hamilton,1 HAMILTON HEALTH PLACE,HAMILTON,NJ,08690,609-586-7900,609-584-0550,ACUTE CARE HOSPITALS,MERCER,34021,34,US,CENTRAL WEST,40.21633388,-74.67201575,,,,,280,
414830.905421663,286865.851034321,76,Hammonton Center,860 S. WHITE HORSE PIKE,HAMMONTON,NJ,08037,609-567-0200,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.62067509,-74.77440638,,,,,9999999,
407130.307961997,292982.052056491,77,Hammonton Dental Center,310 BELLEVUE AVENUE,HAMMONTON,NJ,08037,609-561-9150,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.63739938,-74.80181719,,,,,9999999,
414830.905421663,286865.851034321,78,Southern Jersey Family Medical Centers,1 WHITE HORSE CENTRE,HAMMONTON,NJ,08037,609-567-0434,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.62067509,-74.77440638,,,,,9999999,
414830.905421663,286865.851034321,79,The Mobile Medic,1 WHITE HORSE CENTRE,HAMMONTON,NJ,08037,800-486-0131,,FEDERALLY QUALIFIED HEALTH CENTERS,ATLANTIC,34001,34,US,SOUTH,39.62067509,-74.77440638,,,,,9999999,
415334.790896829,291102.867822737,80,ARMC SED - Kessler,219 N. WHITE HORSE PIKE,HAMMONTON,NJ,08037-2014,609-561-1096,,SATELLITE EMERGENCY DEPARTMENTS,ATLANTIC,34001,34,US,SOUTH,39.6323121,-74.77266319,,,,,9999999,
390612.273412827,309387.49463924,81,Ancora Psychiatric Hospital,301 SPRING GARDEN ROAD,HAMMONTOWN,NJ,08037,609-561-1700,,NON ACUTE CARE HOSPITALS,ATLANTIC,34001,34,US,SOUTH,39.68227294,-74.8607057,,,,,9999999,
621254.331484746,695228.636341237,82,Hoboken University Medical Center,308 WILLOW AVENUE,HOBOKEN,NJ,07030,201-418-1000,201-418-1900,ACUTE CARE HOSPITALS,HUDSON,34017,34,US,NORTH EAST,40.74113,-74.033971,,,,,364,
620618.111628577,694350.95633807,83,NHCAC CHC at Hoboken,124 GRAND STREET,HOBOKEN,NJ,07030,201-795-9521,,FEDERALLY QUALIFIED HEALTH CENTERS,HUDSON,34017,34,US,NORTH EAST,40.73873008,-74.03628379,,,,,9999999,
577973.687403161,572751.042386152,84,Bayshore Community Hospital,727 NORTH BEERS STREET,HOLMDEL,NJ,07733-1598,732-739-5900,,ACUTE CARE HOSPITALS,MONMOUTH,34025,34,US,CENTRAL EAST,40.405447,-74.191716,,,,,225,
406911.987532496,531505.15965499,85,Capital Health System - Hopewell,1 CAPITAL WAY,HOPEWELL,NJ,08560,609-394-4000,,ACUTE CARE HOSPITALS,MERCER,34021,34,US,CENTRAL WEST,40.29222629,-74.80549317,,,,,350,
565261.94084508,689235.193931825,86,Irvington Community Health Center,1150 SPRINGFIELD AVENUE,IRVINGTON,NJ,07111,973-399-6292,,FEDERALLY QUALIFIED HEALTH CENTERS,ESSEX,34013,34,US,NORTH EAST,40.72531706,-74.23611096,,,,,9999999,
616871.756588496,692705.261466742,87,Christ Hospital,176 PALISADE AVENUE,JERSEY CITY,NJ,07306,201-795-8200,,ACUTE CARE HOSPITALS,HUDSON,34017,34,US,NORTH EAST,40.73426628,-74.04983403,,,,,402,
616596.00156258,686099.231699824,88,Jersey City Medical Center,355 GRAND STREET,JERSEY CITY,NJ,07302,201-915-2000,,ACUTE CARE HOSPITALS,HUDSON,34017,34,US,NORTH EAST,40.716137,-74.050951,,,,,356,Level II
618528.874337245,687389.36363399,89,Alliance Community Healthcare - Christopher Columbus Drive,115 CHRISTOPHER COLUMBUS DR,JERSEY CITY,NJ,07302,201-451-6300,201-710-2201,FEDERALLY QUALIFIED HEALTH CENTERS,HUDSON,34017,34,US,NORTH EAST,40.719651,-74.04395387,,,,,9999999,
611347.068818994,689042.197270572,90,Alliance Community Healthcare - Bergen,714 BERGEN AVE,JERSEY CITY,NJ,07306,201-451-6300,201-710-2000,FEDERALLY QUALIFIED HEALTH CENTERS,HUDSON,34017,34,US,NORTH EAST,40.7242874,-74.06983491,,,,,9999999,
611180.121318247,684000.856959574,91,Metropolitan Family Health Network,935 GARFIELD AVENUE,JERSEY CITY,NJ,07304,201-478-5800,,FEDERALLY QUALIFIED HEALTH CENTERS,HUDSON,34017,34,US,NORTH EAST,40.71045141,-74.0705262,,,,,9999999,
612199.618294995,690672.285873905,92,Metropolitan Family Health Network at Bergen Ave,857 BERGEN AVE,JERSEY CITY,NJ,07306,201-478-5800,,FEDERALLY QUALIFIED HEALTH CENTERS,HUDSON,34017,34,US,NORTH EAST,40.7287504,-74.06672988,,,,,9999999,
617633.486036163,694696.786683157,93,NHCAC Jersey City,324 PALISADE AVENUE,JERSEY CITY,NJ,07307,201-459-8888,,FEDERALLY QUALIFIED HEALTH CENTERS,HUDSON,34017,34,US,NORTH EAST,40.73972213,-74.04704822,,,,,9999999,
607403.785038911,683877.641982906,94,Snyder High School,239 BERGEN AVENUE,JERSEY CITY,NJ,07503,201-915-6220,,FEDERALLY QUALIFIED HEALTH CENTERS,HUDSON,34017,34,US,NORTH EAST,40.7101548122204,-74.0841491110049,,,,,9999999,
595225.654539578,588346.313360907,95,Keansburg Community Health Center,100 MAIN STREET,KEANSBURG,NJ,07734,732-787-1250,732-774-6333,FEDERALLY QUALIFIED HEALTH CENTERS,MONMOUTH,34025,34,US,CENTRAL EAST,40.44807596,-74.1295299,,,,,9999999,
575009.556520414,584689.717655741,96,Keyport Primary Care Center,35 BROAD STREET,KEYPORT,NJ,07735,732-888-4149,732-774-6333,FEDERALLY QUALIFIED HEALTH CENTERS,MONMOUTH,34025,34,US,CENTRAL EAST,40.43824813,-74.20221568,,,,,9999999,
541080.671294328,429486.734099075,97,Ocean Health Initiatives - Manchester,686 STHY 70,LAKEHURST,NJ,08733,,,FEDERALLY QUALIFIED HEALTH CENTERS,OCEAN,34029,34,US,CENTRAL EAST,40.01242687,-74.32521246,,,,,9999999,
570894.424658827,451709.144378573,98,Monmouth Medical Center - Southern Campus,600 RIVER AVENUE,LAKEWOOD,NJ,08701-4281,732-363-1900,732-886-4740,ACUTE CARE HOSPITALS,OCEAN,34029,34,US,CENTRAL EAST,40.073225,-74.218517,,,,,353,
570647.844115246,464419.995597236,99,"CHEMED (Center for Health, Education, Medicine and Dentistry)",1771 MADISON AVENUE,LAKEWOOD,NJ,08701,732-364-2144,,FEDERALLY QUALIFIED HEALTH CENTERS,OCEAN,34029,34,US,CENTRAL EAST,40.10812216,-74.21925482,,,,,9999999,
573784.555689581,458981.261067905,100,Ocean Health Initiatives - Lakewood,101 SECOND STREET,LAKEWOOD,NJ,08701,732-363-6655,,FEDERALLY QUALIFIED HEALTH CENTERS,OCEAN,34029,34,US,CENTRAL EAST,40.09316355,-74.20810392,,,,,9999999,
573784.555689581,458981.261067905,101,Ocean Health Initiatives Mobile Unit,101 SECOND STREET,LAKEWOOD,NJ,08701,732-363-6655,,FEDERALLY QUALIFIED HEALTH CENTERS,OCEAN,34029,34,US,CENTRAL EAST,40.09316355,-74.20810392,,,,,9999999,
571773.145014245,459836.075959325,102,Ocean Health Initiatives at Clifton Avenue Grade School - SBHC,625 CLIFTON AVENUE,LAKEWOOD,NJ,08701,732-719-1505,,FEDERALLY QUALIFIED HEALTH CENTERS,OCEAN,34029,34,US,CENTRAL EAST,40.09552816,-74.21528398,,,,,9999999,
