OBJECTID,ROUTE,REFPT,ENDREFPT,LENGTH_,UPDATEYR,AADT,AADTYR,COUNTYEAR,AADTDERIV,AADTSINGLE,AADTCOMB,OFFPKTRK,YR20FACTOR,DHV,DD,ROUTECAPAC,EDLA,VCRATIO,VCRATIO20,ROADTERRAIN,SEASONALGROUPID,COUNTSTATIONID,CALYR,PCTOFFPKSU,PCTOFFPKCOMB,AADTTRUCKS,RUNLENGTH_FROM,RUNLENGTH_TO,ISRAMP,PCTDHSU,PCTDHCOMB,DHTRK
13,024A,210.459,210.616,0.167,2022,14000,2022,2022,0,310,210,3.70000004768372,1.19000005722046,11,57,3380,0,0.519999980926514,0.620000004768372,3,2,100800,2022,2.20000004768372,1.5,520,66.217,66.384,,0.140000000596046,0.109999999403954,0.300000011920929
14,392A,95.305,98.504,3.19,2022,12000,2022,2020,2,250,120,3.09999990463257,1.24000000953674,11.5,52,2050,0,0.699999988079071,0.870000004768372,2,6,106718,2022,2.09999990463257,1,370,0,3.19,,1,0.0399999991059303,1
15,144A,10.493,11.062,0.46,2022,620,2022,2021,1,40,40,13.1999998092651,1.14999997615814,11.5,57,2050,0,0.0399999991059303,0.0500000007450581,2,2,104673,2022,6.59999990463257,6.59999990463257,80,10.455,10.915,,0.180000007152557,0.219999998807907,0.400000005960464
16,066B,32.585,34.838,2.244,2022,12000,2022,2020,2,360,240,5,1.11000001430511,11.5,57,2650,0,0.589999973773956,0.649999976158142,2,2,102869,2022,3,2,600,3.879,6.123,,0.0900000035762787,0.150000005960464,0.200000002980232
17,050B,335.764,336.297,0.516,2022,5400,2022,2020,2,220,360,10.6000003814697,1.10000002384186,11.5,57,2250,0,0.310000002384186,0.340000003576279,2,2,102335,2022,4,6.59999990463257,580,20.24,20.756,,0.129999995231628,0.389999985694885,0.5
18,070A,105.26,109,3.739,2022,35000,2022,2020,2,810,2800,10.3999996185303,1.33000004291534,11,55,6000,0,0.709999978542328,0.939999997615814,3,1,103013,2022,2.29999995231628,8.10000038146973,3610,105.385,109.124,,0.129999995231628,0.529999971389771,0.699999988079071
19,093A,15.531,15.981,0.478,2022,21000,2022,2021,1,480,400,4.19999980926514,1.12999999523163,11,56,3950,0,0.649999976158142,0.730000019073486,2,6,101085,2022,2.29999995231628,1.89999997615814,880,16.336,16.814,,0.140000000596046,0.109999999403954,0.300000011920929
20,083A,65.32,66.557,1.154,2022,67000,2022,2019,3,740,540,1.89999997615814,1.20000004768372,8.5,54,7200,0,0.850000023841858,1.01999998092651,2,6,103606,2022,1.10000002384186,0.800000011920929,1280,44.91,46.064,,0.0900000035762787,0.0399999991059303,0.100000001490116
21,025A,163.321,167.464,4.086,2022,77000,2022,2018,3,1900,3900,7.5,1.28999996185303,8.5,52,7750,0,0.879999995231628,1.13999998569489,2,5,100978,2022,2.5,5,5800,163.243,167.329,,0.109999999403954,0.159999996423721,0.300000011920929
22,550B,92.21,92.894,0.662,2022,2500,2022,2020,2,150,100,9.60000038146973,1.08000004291534,15.5,58,900,0,0.5,0.540000021457672,3,3,105578,2022,5.80000019073486,3.79999995231628,250,69.961,70.623,,0.280000001192093,0.219999998807907,0.5
23,160A,39.05,39.584,0.499,2022,17000,2022,2022,0,320,430,4.40000009536743,1.0900000333786,9,54,3700,0,0.449999988079071,0.490000009536743,2,6,104787,2022,1.89999997615814,2.5,750,39.074,39.573,,0.140000000596046,0.230000004172325,0.400000005960464
24,025C,0.885,1.153,0.261,2022,2100,2022,2020,2,110,150,12.3000001907349,1.05999994277954,11.5,57,1800,0,0.150000005960464,0.159999996423721,2,2,101044,2022,5,7.30000019073486,260,0.926,1.187,,0.180000007152557,0.219999998807907,0.400000005960464
25,318A,20.562,54.309,33.672,2022,200,2022,2018,3,9,20,13,1.19000005722046,11,57,2000,0,0.00999999977648258,0.00999999977648258,2,2,105357,2022,4.30000019073486,8.69999980926514,29,20.436,54.108,,0.180000007152557,0.219999998807907,0.400000005960464
26,125A,0,29.46,29.311,2022,880,2022,2022,5,30,30,7.40000009536743,1.25999999046326,15,53,1700,0,0.0799999982118607,0.100000001490116,3,3,000216,2022,3.70000004768372,3.70000004768372,60,0,29.311,,0.340000003576279,0.340000003576279,0.699999988079071
27,040A,93.707,96.7,2.953,2022,5400,2022,2022,5,140,270,7.5,1.05999994277954,11,69,2700,0,0.300000011920929,0.319999992847443,2,2,000209,2022,2.5,5,410,93.341,96.294,,0.340000003576279,1.01999998092651,1.39999997615814
28,184B,26.444,26.599,0.168,2022,2800,2022,2022,0,110,40,5.5,1.0900000333786,11,57,2100,0,0.170000001788139,0.189999997615814,2,2,104983,2022,4,1.5,150,17.421,17.589,,0.0599999986588955,0.00999999977648258,0.100000001490116
29,040C,297.673,298.049,0.397,2022,30000,2022,2019,3,660,300,3.20000004768372,1.12999999523163,9,58,4900,0,0.639999985694885,0.720000028610229,2,6,101921,2022,2.20000004768372,1,960,18.487,18.884,,0.0500000007450581,0.00999999977648258,0.100000001490116
30,064A,18.143,18.347,0.216,2022,2900,2022,2021,1,130,80,7.09999990463257,1.03999996185303,11.5,57,1700,0,0.219999998807907,0.230000004172325,3,2,102838,2022,4.40000009536743,2.70000004768372,210,17.94,18.156,,0.409999996423721,0.360000014305115,0.800000011920929
31,085E,0,0.494,0.497,2022,5300,2022,2022,0,170,40,4,1.29999995231628,10.5,54,2050,0,0.28999999165535,0.379999995231628,2,6,103739,2022,3.29999995231628,0.699999988079071,210,0,0.497,,0.589999973773956,0.0599999986588955,0.699999988079071
32,072A,18.611,20.733,2.14,2022,2300,2022,2021,1,50,10,2.90000009536743,1.1599999666214,11.5,57,850,0,0.349999994039536,0.409999996423721,3,2,103280,2022,2.29999995231628,0.600000023841858,60,18.631,20.771,,0.230000004172325,0.0399999991059303,0.300000011920929
33,009C,95.97,96.021,0.078,2022,24000,2022,2017,3,720,380,4.59999990463257,1.17999994754791,11.5,60,3500,0,0.949999988079071,1.12000000476837,1,4,100510,2022,3,1.60000002384186,1100,30.835,30.913,,0.109999999403954,0.0199999995529652,0.100000001490116
34,095A,7.037,7.541,0.5,2022,34000,2022,2021,1,650,310,2.79999995231628,1.0900000333786,10,52,3540,0,1,1.0900000333786,2,6,103976,2022,1.89999997615814,0.899999976158142,960,7.114,7.614,,0.0500000007450581,0.00999999977648258,0.100000001490116
35,014C,153.37,153.622,0.168,2022,3000,2022,2020,2,140,200,11.3000001907349,1.47000002861023,11.5,57,2050,0,0.189999997615814,0.280000001192093,2,2,100648,2022,4.5,6.80000019073486,340,18.423,18.591,,0.0599999986588955,0.589999973773956,0.699999988079071
36,002A,4.144,4.377,0.227,2022,32000,2022,2021,1,740,320,3.29999995231628,1.0900000333786,9.5,56,5200,0,0.649999976158142,0.709999978542328,2,6,100177,2022,2.29999995231628,1,1060,4.042,4.269,,0.0299999993294477,0.0199999995529652,0.100000001490116
37,025A,17.728,34.149,16.334,2022,14000,2022,2020,2,380,2400,20,1.08000004291534,11,55,6900,0,0.25,0.270000010728836,1,1,100929,2022,2.70000004768372,17.2999992370605,2780,17.778,34.112,,0.189999997615814,0.860000014305115,1.10000002384186
38,287A,28.777,29.96,1.179,2022,6500,2022,2020,2,180,1600,27.7999992370605,1.12999999523163,11.5,57,2900,0,0.28999999165535,0.330000013113022,1,2,105179,2022,2.79999995231628,25,1780,28.781,29.96,,0.409999996423721,2.22000002861023,2.59999990463257
39,285C,142.488,148.065,5.556,2022,9800,2022,2022,5,190,290,4.90000009536743,1.20000004768372,14.5,53,2600,0,0.579999983310699,0.699999988079071,3,3,000219,2022,1.89999997615814,3,480,15.464,21.02,,0.319999992847443,0.389999985694885,0.699999988079071
40,034Z,0.094,0.187,0.096,2022,7900,2022,2015,3,210,120,4.19999980926514,1.38999998569489,12,100,2650,0,0.360000014305115,0.5,2,6,101542,2022,2.70000004768372,1.5,330,0.094,0.19,,1.11000001430511,0.0399999991059303,1.20000004768372
41,052A,10.188,11.167,0.984,2022,17000,2022,2020,2,600,410,5.90000009536743,1.38999998569489,9.5,62,2560,0,0.779999971389771,1.08000004291534,2,6,102453,2022,3.5,2.40000009536743,1010,10.184,11.168,,0.109999999403954,0.0700000002980232,0.200000002980232
42,070A,371.482,383.496,12.017,2022,11000,2022,2019,3,190,2600,25.2999992370605,1.14999997615814,15.5,58,6850,0,0.28999999165535,0.330000013113022,1,3,103100,2022,1.70000004768372,23.6000003814697,2790,372.186,384.203,,0.0599999986588955,0.790000021457672,0.899999976158142
43,045A,3.141,3.52,0.376,2022,23000,2022,2018,3,550,230,3.40000009536743,1.12999999523163,10,55,3560,0,0.709999978542328,0.800000011920929,2,6,102120,2022,2.40000009536743,1,780,3.236,3.612,,0.109999999403954,0.0700000002980232,0.200000002980232
44,013A,2.607,2.688,0.22,2022,10000,2022,2020,2,240,420,6.59999990463257,1.32000005245209,11.5,57,2800,0,0.469999998807907,0.620000004768372,3,2,100569,2022,2.40000009536743,4.19999980926514,660,1.951,2.171,,0.340000003576279,0.230000004172325,0.600000023841858
45,034A,96.25,98.836,2.563,2022,51000,2022,2020,2,660,1100,3.5,1.35000002384186,9,57,5700,0,0.920000016689301,1.24000000953674,2,2,101435,2022,1.29999995231628,2.20000004768372,1760,95.759,98.322,,0.0299999993294477,0.0599999986588955,0.100000001490116
46,391A,4.243,5.24,1.009,2022,38000,2022,2021,1,650,380,2.70000004768372,1.04999995231628,9,56,4300,0,0.889999985694885,0.930000007152557,2,6,105632,2022,1.70000004768372,1,1030,4.266,5.275,,0.0500000007450581,0.00999999977648258,0.100000001490116
47,140A,15.658,23.435,7.722,2022,1700,2022,2022,0,40,130,10,1.22000002861023,11,57,1200,0,0.180000007152557,0.219999998807907,3,2,104634,2022,2.59999990463257,7.40000009536743,170,15.62,23.342,,0.330000013113022,1.37000000476837,1.70000004768372
48,050A,278.704,279.222,0.493,2022,21000,2022,2019,3,500,460,4.59999990463257,1.0900000333786,9,52,3700,0,0.529999971389771,0.579999983310699,2,6,102300,2022,2.40000009536743,2.20000004768372,960,246.088,246.581,,0.0900000035762787,0.150000005960464,0.200000002980232
49,069A,9.668,25.017,15.142,2022,910,2022,2021,1,50,50,10.5,1.12000000476837,15,58,1850,0,0.0900000035762787,0.100000001490116,2,3,102924,2022,5.19999980926514,5.30000019073486,100,9.584,24.726,,0.180000007152557,0.219999998807907,0.400000005960464
50,090B,88.977,89.304,0.381,2022,12000,2022,2022,0,200,70,2.29999995231628,1.11000001430511,10,62,1900,0,0.779999971389771,0.870000004768372,2,6,103893,2022,1.70000004768372,0.600000023841858,270,7.374,7.755,,0.109999999403954,0.0199999995529652,0.100000001490116
51,082A,24,26.731,2.711,2022,21000,2022,2022,5,710,130,4,1.16999995708466,11.5,75,5800,0,0.620000004768372,0.730000019073486,3,6,000236,2022,3.40000009536743,0.600000023841858,840,24.025,26.736,,0.140000000596046,0.0299999993294477,0.200000002980232
52,007A,14.91,16.086,1.187,2022,1600,2022,2018,3,30,20,3.20000004768372,1.1599999666214,15.5,58,1750,0,0.159999996423721,0.189999997615814,3,3,100410,2022,2.09999990463257,1.10000002384186,50,14.833,16.02,,0.230000004172325,0.0399999991059303,0.300000011920929
53,105A,8.762,8.796,0.065,2022,5300,2022,2020,2,70,40,2.09999990463257,1.23000001907349,14.5,52,1740,0,0.46000000834465,0.569999992847443,2,6,104187,2022,1.39999997615814,0.699999988079071,110,4.028,4.093,,0.589999973773956,0.0599999986588955,0.699999988079071
54,021A,131.813,132.941,1.127,2022,16000,2022,2020,2,400,480,5.5,1.21000003814697,10,52,5600,0,0.300000011920929,0.360000014305115,2,6,900102,2022,2.5,3,880,0,1.127,,0.219999998807907,0.0599999986588955,0.300000011920929
55,491B,61.452,63.272,1.796,2022,3400,2022,2020,2,130,510,18.8999996185303,1.0900000333786,11.5,57,2000,0,0.219999998807907,0.239999994635582,2,2,105620,2022,3.79999995231628,15.1000003814697,640,35.216,37.012,,0.0799999982118607,2.20000004768372,2.29999995231628
56,157A,0.172,0.962,0.925,2022,44000,2022,2020,2,1000,880,4.30000019073486,1.08000004291534,8,61,5100,0,0.839999973773956,0.910000026226044,2,6,104747,2022,2.29999995231628,2,1880,0.355,1.28,,0.119999997317791,0.100000001490116,0.200000002980232
57,287C,344.194,345.212,1.002,2022,39000,2022,2021,1,700,430,2.90000009536743,1.12999999523163,10,55,5120,0,0.839999973773956,0.949999988079071,2,6,105312,2022,1.79999995231628,1.10000002384186,1130,60.874,61.876,,0.109999999403954,0.0700000002980232,0.200000002980232
58,121A,16.79,17.152,0.344,2022,64000,2022,2022,0,830,580,2.20000004768372,1.08000004291534,8,52,5500,0,0.970000028610229,1.04999995231628,2,6,104407,2022,1.29999995231628,0.899999976158142,1410,16.25,16.594,,0.0500000007450581,0.00999999977648258,0.100000001490116
59,040A,83.21,88.166,4.896,2022,2200,2022,2020,2,60,170,10.3999996185303,1.0900000333786,11.5,58,1100,0,0.270000010728836,0.28999999165535,2,6,101814,2022,2.59999990463257,7.80000019073486,230,82.72,87.616,,0.409999996423721,0.360000014305115,0.800000011920929
60,172A,9.24,9.751,0.512,2022,6600,2022,2020,2,120,50,2.59999990463257,1.16999995708466,11.5,57,2900,0,0.300000011920929,0.349999994039536,2,2,104958,2022,1.79999995231628,0.800000011920929,170,9.211,9.723,,0.109999999403954,0.0199999995529652,0.100000001490116
61,040C,290.263,291.444,0.994,2022,20000,2022,2021,1,400,260,3.29999995231628,1.07000005245209,9.5,52,5200,0,0.379999995231628,0.409999996423721,2,6,101904,2022,2,1.29999995231628,660,11.408,12.402,,0.0500000007450581,0.00999999977648258,0.100000001490116
62,061A,8.062,14.03,5.899,2022,480,2022,2022,0,10,70,16.2999992370605,1.22000002861023,11,57,3050,0,0.0199999995529652,0.0199999995529652,1,2,102773,2022,2.29999995231628,14,80,8.076,13.975,,0.180000007152557,0.219999998807907,0.400000005960464
63,071C,99.722,100.73,0.995,2022,1900,2022,2020,2,160,120,14.6999998092651,1.17999994754791,11.5,57,1900,0,0.129999995231628,0.150000005960464,1,2,103185,2022,8.19999980926514,6.5,280,83.149,84.144,,0.860000014305115,0.28999999165535,1.20000004768372
64,007D,63.217,64.144,0.742,2022,16000,2022,2020,2,300,300,3.79999995231628,1.22000002861023,9.5,63,2650,0,0.720000028610229,0.879999995231628,2,6,100446,2022,1.89999997615814,1.89999997615814,600,1.504,2.246,,0.0500000007450581,0.00999999977648258,0.100000001490116
65,024G,377.075,377.668,0.588,2022,4500,2022,2020,2,140,370,11.5,1.11000001430511,11.5,57,4000,0,0.150000005960464,0.170000001788139,1,2,106661,2022,3.20000004768372,8.30000019073486,510,66.294,66.882,,0.129999995231628,0.389999985694885,0.5
66,285A,16.327,19.817,3.489,2022,6700,2022,2020,2,220,240,6.90000009536743,1.05999994277954,11.5,57,2700,0,0.330000013113022,0.349999994039536,2,2,105092,2022,3.29999995231628,3.59999990463257,460,16.369,19.858,,0.230000004172325,0.0900000035762787,0.300000011920929
67,034B,220.528,222.766,2.309,2022,2700,2022,2021,1,80,660,27.3999996185303,1.08000004291534,11.5,57,2950,0,0.119999997317791,0.129999995231628,1,2,101495,2022,3,24.3999996185303,740,61.998,64.307,,0.469999998807907,3.72000002861023,4.19999980926514
68,050C,0,0.192,0.194,2022,8500,2022,2020,2,130,60,2.20000004768372,1.05999994277954,11,54,3380,0,0.300000011920929,0.319999992847443,2,6,102409,2022,1.5,0.699999988079071,190,0,0.194,,0.589999973773956,0.0599999986588955,0.699999988079071
69,070A,251.318,252.244,0.86,2022,70000,2022,2020,2,1600,2900,6.40000009536743,1.19000005722046,13,60,10400,0,1.04999995231628,1.25,3,4,103048,2022,2.29999995231628,4.09999990463257,4500,252.508,253.368,,0.0500000007450581,0.109999999403954,0.200000002980232
70,006C,40.341,42.042,1.746,2022,6600,2022,2020,2,150,60,3.20000004768372,1.14999997615814,11.5,57,2050,0,0.419999986886978,0.479999989271164,2,2,100280,2022,2.29999995231628,0.899999976158142,210,2.812,4.558,,0.280000001192093,0.219999998807907,0.5
71,040H,470.311,470.885,0.577,2022,1800,2022,2022,0,160,230,21.7000007629395,1.10000002384186,11,57,2900,0,0.0799999982118607,0.0900000035762787,1,2,101982,2022,8.89999961853027,12.8000001907349,390,84.457,85.034,,1.01999998092651,0.850000023841858,1.89999997615814
72,085C,231.932,234.089,2.14,2022,38000,2022,2022,0,1600,2600,11.1999998092651,1.27999997138977,8,53,5050,0,0.639999985694885,0.819999992847443,2,6,103686,2022,4.30000019073486,6.90000009536743,4200,5.161,7.301,,0.430000007152557,0.409999996423721,0.800000011920929
73,025A,188.486,192.083,3.593,2022,145000,2022,2022,5,2900,4100,4.80000019073486,1.28999996185303,8.5,57,16500,0,0.850000023841858,1.10000002384186,2,5,000012,2022,2,2.79999995231628,7000,188.345,191.938,,0.0799999982118607,0.109999999403954,0.200000002980232
74,160A,235.928,236.903,0.977,2022,7300,2022,2022,0,270,610,12.1000003814697,1.0900000333786,11,57,3050,0,0.300000011920929,0.330000013113022,2,2,104870,2022,3.70000004768372,8.39999961853027,880,234.863,235.84,,0.419999986886978,0.949999988079071,1.39999997615814
75,030A,3.831,4.276,0.269,2022,33000,2022,2020,2,630,300,2.79999995231628,1.10000002384186,10,52,5200,0,0.660000026226044,0.730000019073486,2,6,101112,2022,1.89999997615814,0.899999976158142,930,3.835,4.104,,0.0299999993294477,0.0199999995529652,0.100000001490116
76,385D,219.448,233.734,14.503,2022,1000,2022,2021,1,80,250,33.2000007629395,1.08000004291534,11.5,57,2050,0,0.0599999986588955,0.0599999986588955,1,2,105462,2022,8.19999980926514,25,330,0,14.503,,1.01999998092651,0.850000023841858,1.89999997615814
77,138A,0.468,0.546,0.094,2022,1600,2022,2020,2,40,80,7.09999990463257,1.04999995231628,12,57,1900,0,0.119999997317791,0.129999995231628,2,6,104585,2022,2.40000009536743,4.69999980926514,120,0.486,0.58,,0.200000002980232,0.569999992847443,0.800000011920929
78,285D,220.612,221.889,1.32,2022,8100,2022,2020,2,240,460,8.69999980926514,1.30999994277954,15.5,58,2200,0,0.660000026226044,0.860000014305115,3,3,105140,2022,3,5.69999980926514,700,58.824,60.144,,0.0900000035762787,0.0799999982118607,0.200000002980232
79,266A,2.964,5.363,2.538,2022,360,2022,2018,3,20,10,8.19999980926514,1.0900000333786,11,57,2100,0,0.0199999995529652,0.0199999995529652,2,2,105070,2022,5.40000009536743,2.79999995231628,30,2.924,5.462,,0.180000007152557,0.219999998807907,0.400000005960464
80,067D,78.022,80.899,2.871,2022,4100,2022,2020,2,90,20,2.79999995231628,1.23000001907349,15.5,58,2350,0,0.310000002384186,0.379999995231628,3,3,102905,2022,2.20000004768372,0.600000023841858,110,1.083,3.954,,0.589999973773956,0.0599999986588955,0.699999988079071
81,088A,11.56,14.127,2.483,2022,33000,2022,2021,1,760,400,3.5,1.12000000476837,10.5,53,4000,0,0.920000016689301,1.02999997138977,2,6,103866,2022,2.29999995231628,1.20000004768372,1160,11.516,13.999,,0.0500000007450581,0.00999999977648258,0.100000001490116
82,078A,32.567,33,0.437,2022,8500,2022,2022,0,170,90,3,1.0900000333786,11,52,2150,0,0.449999988079071,0.490000009536743,2,6,103488,2022,2,1,260,32.18,32.617,,0.589999973773956,0.0599999986588955,0.699999988079071
83,006J,453.968,454.06,0.072,2022,4500,2022,2020,2,230,290,11.6000003814697,1.10000002384186,11.5,57,3250,0,0.180000007152557,0.200000002980232,1,2,100383,2022,5.19999980926514,6.40000009536743,520,82.485,82.557,,0.680000007152557,2.21000003814697,2.90000009536743
84,101A,16.45,21.413,4.951,2022,90,2022,2022,0,30,10,41.5,1.25999999046326,11,57,2650,0,0,0,1,2,104065,2022,28.6000003814697,12.8999996185303,40,16.398,21.349,,0.180000007152557,0.219999998807907,0.400000005960464
85,017B,82.134,83.12,1.008,2022,2300,2022,2018,3,80,200,12.1000003814697,1.14999997615814,15.5,58,2050,0,0.200000002980232,0.230000004172325,2,3,100701,2022,3.29999995231628,8.80000019073486,280,13.104,14.112,,0.28999999165535,1.00999999046326,1.29999995231628
86,470B,31.61,34.13,2.496,2022,37000,2022,,4,590,670,3.40000009536743,1.49000000953674,12,56,8400,0,0.589999973773956,0.879999995231628,2,6,106458,2022,1.60000002384186,1.79999995231628,1260,31.678,34.174,,0.129999995231628,0.119999997317791,0.300000011920929
87,145A,84.289,96.066,11.798,2022,2000,2022,2021,1,110,60,8.39999961853027,1.17999994754791,11.5,57,1800,0,0.150000005960464,0.180000007152557,3,2,104704,2022,5.59999990463257,2.79999995231628,170,83.647,95.445,,0.25,0.25,0.5
88,287C,334.641,335.113,0.455,2022,28000,2022,2020,2,390,450,3,1.20000004768372,9.5,52,3650,0,0.759999990463257,0.910000026226044,2,6,105299,2022,1.39999997615814,1.60000002384186,840,51.363,51.818,,0.109999999403954,0.0700000002980232,0.200000002980232
89,119A,41.39,41.621,0.229,2022,14000,2022,2020,2,410,140,3.90000009536743,1.10000002384186,11,52,3550,0,0.449999988079071,0.5,2,6,104343,2022,2.90000009536743,1,550,41.284,41.513,,0.589999973773956,0.0599999986588955,0.699999988079071
90,036D,127.573,135.583,7.929,2022,590,2022,2022,5,80,120,32.7000007629395,1.23000001907349,12,56,1450,0,0.0500000007450581,0.0599999986588955,2,2,101702,2022,13,19.7000007629395,200,38.762,46.691,,1.01999998092651,0.850000023841858,1.89999997615814
91,160C,414.755,416.531,1.832,2022,240,2022,2022,0,10,50,25,1.07000005245209,11,57,2450,0,0.00999999977648258,0.00999999977648258,1,2,104903,2022,5,20,60,70.621,72.453,,0.180000007152557,0.219999998807907,0.400000005960464
92,059B,105.302,105.975,0.689,2022,1200,2022,2022,0,40,140,14.6000003814697,1.0900000333786,11,57,2950,0,0.0500000007450581,0.0500000007450581,1,2,102570,2022,3.09999990463257,11.5,180,31.103,31.792,,0.180000007152557,0.219999998807907,0.400000005960464
93,050A,176.605,189.275,12.787,2022,2500,2022,2019,3,100,230,13.1999998092651,1.10000002384186,15.5,58,2200,0,0.200000002980232,0.219999998807907,3,3,102270,2022,4,9.19999980926514,330,144.242,157.029,,0.200000002980232,0.569999992847443,0.800000011920929
94,071C,26.642,26.881,0.224,2022,2400,2022,2022,0,80,180,10.8999996185303,1.14999997615814,11,57,3200,0,0.0900000035762787,0.100000001490116,2,2,103173,2022,3.5,7.40000009536743,260,10.358,10.582,,0.330000013113022,1.37000000476837,1.70000004768372
95,024C,446.851,450.796,4.001,2022,1300,2022,2020,2,70,60,10,1.07000005245209,11.5,57,3050,0,0.0599999986588955,0.0599999986588955,1,2,100888,2022,5.5,4.5,130,9.645,13.646,,0.180000007152557,0.219999998807907,0.400000005960464
96,470B,19,20.547,1.473,2022,36000,2022,,4,940,1200,5.80000019073486,1.38999998569489,13,53,8300,0,0.600000023841858,0.829999983310699,2,6,106138,2022,2.59999990463257,3.20000004768372,2140,19.056,20.529,,0.209999993443489,0.100000001490116,0.300000011920929
97,050B,425.716,427.737,2.051,2022,4200,2022,2020,2,110,690,19.1000003814697,1.03999996185303,11.5,57,3050,0,0.180000007152557,0.189999997615814,2,2,102386,2022,2.59999990463257,16.5,800,110.016,112.067,,0.379999995231628,0.479999989271164,0.899999976158142
98,070A,225.719,227.91,2.261,2022,38000,2022,2021,1,1100,2700,10,1.20000004768372,12.5,59,6300,0,0.889999985694885,1.07000005245209,3,4,103035,2022,2.79999995231628,7.19999980926514,3800,226.703,228.964,,0.180000007152557,0.330000013113022,0.5
99,052A,60.9,70.895,9.96,2022,540,2022,2021,1,30,50,15.1000003814697,1.25999999046326,11.5,57,3000,0,0.0199999995529652,0.0299999993294477,1,2,102476,2022,5.69999980926514,9.39999961853027,80,60.616,70.576,,0.180000007152557,0.219999998807907,0.400000005960464
100,085A,128.636,129.725,1.09,2022,9100,2022,2021,1,300,180,5.30000019073486,1.23000001907349,11,57,3350,0,0.340000003576279,0.419999986886978,2,6,103638,2022,3.29999995231628,2,480,0.962,2.052,,0.0500000007450581,0.0199999995529652,0.100000001490116
